mainlocation,neighborhood,frontage,purpose,streetwidth,size,Pricepm,land_price
الرياض,حي العقيق,3 شوارع,سكني,20.0,1150,3500,4025000
الخبر,حي البحيرة,شمال غربي,سكني,20.0,600,1200,720000
الدرعية,حي الخالدية,جنوب,سكني,25.0,851,3050,2595550
الخبر,حي الجسر,غرب,سكني,15.0,500,1300,650000
الرياض,حي القيروان,جنوب شرقي,سكني,25.0,624,2800,1747200
الرياض,حي بنبان,جنوب,سكني,20.0,6000,750,4500000
رابغ,حي الصبوح,جنوب,سكني,15.0,896,167,149632
الزلفي,حي مرخ,شمال غربي,سكني,20.0,625,160,100000
الرياض,حي الغدير,شمال شرقي,سكني,20.0,2290,4000,9160000
المجمعة,حي المروج,غرب,سكني,40.0,950,631,599450
الخبر,حي اشبيليا,غرب,تجاري,60.0,1500,3500,5250000
الخبر,حي الخزامى,شمال,سكني,100.0,1018,2455,2499190
جدة,حي الزمرد,شمال,تجاري,32.0,600,2500,1500000
الرياض,حي المونسية,شرق,سكني,15.0,2130,2650,5644500
الرياض,حي ضاحية نمار,شرق,سكني,20.0,552,653,360456
الرياض,حي الملك عبدالله,غرب,سكني أو تجاري,30.0,6500,4500,29250000
الرياض,حي الملقا,شرق,سكني,60.0,900,7000,6300000
الرياض,حي قرطبة,جنوب,سكني,15.0,600,2850,1710000
الرياض,حي المونسية,جنوب غربي,سكني,18.0,336,2900,974400
الخبر,حي العقيق,جنوب شرقي,سكني,20.0,1260,950,1197000
الرياض,حي ظهرة لبن,شمال شرقي,سكني أو تجاري,30.0,875,1830,1601250
جدة,حي ابحر الشمالية,غرب,سكني,32.0,506,2600,1315600
رياض الخبراء,حي الافراح,4 شوارع,سكني,20.0,4441,147,652827
الرياض,حي المروج,شرق,سكني,15.0,1020,2800,2856000
الرياض,حي الملقا,شرق,سكني,28.0,4000,4200,16800000
الرياض,حي الملقا,شرق,سكني أو تجاري,36.0,2544,4400,11193600
الرياض,حي عريض,جنوب,سكني,20.0,964,363,349932
الرياض,حي المونسية,غرب,سكني,15.0,385,1550,596750
جدة,حي الصوارى,3 شوارع,سكني,32.0,1160,1550,1798000
الرياض,حي الفيحاء,شمال,تجاري,30.0,10100,550,5555000
الرياض,حي اليرموك,شرق,سكني أو تجاري,30.0,900,2600,2340000
الرياض,حي حطين,4 شوارع,سكني,28.0,14300,4550,65065000
الرياض,حي النرجس,جنوب غربي,سكني,20.0,1125,3100,3487500
الخبر,حي التحلية,شمال شرقي,سكني,15.0,600,1500,900000
الخبر,حي التحلية,جنوب شرقي,سكني,15.0,500,1500,750000
الرياض,حي الرمال,4 شوارع,سكني,25.0,27500,1400,38500000
الرياض,حي الرمال,شمال شرقي,سكني,20.0,375,1850,693750
الرياض,حي حطين,4 شوارع,سكني,100.0,9997,3500,34989500
الرياض,حي الربيع,جنوب شرقي,سكني,12.0,1323,3400,4498200
الدرعية,حي الخالدية,شمال,سكني,20.0,616,3350,2063600
الرياض,حي الفلاح,غرب,سكني أو تجاري,36.0,1200,4300,5160000
الرياض,حي الملقا,شمال شرقي,سكني,15.0,765,4118,3150270
الخبر,حي الامواج,شمال غربي,سكني,20.0,1147,1100,1261700
الخبر,حي الرجاء,شرق,سكني,15.0,363,1005,364815
الرياض,حي الشرق,جنوب,سكني,20.0,753,332,249996
الدرعية,حي الخالدية,شمال غربي,سكني,25.0,1800,3900,7020000
الرياض,حي الملقا,4 شوارع,سكني أو تجاري,36.0,21574,3700,79823800
الرياض,حي الملقا,شمال شرقي,سكني,15.0,2917,3600,10501200
الرياض,حي بنبان,شمال,سكني أو تجاري,20.0,405,765,309825
الخبر,حي التحلية,شمال غربي,سكني,20.0,467,1500,700500
الرياض,حي الملقا,غرب,سكني,20.0,900,4100,3690000
الرياض,حي المهدية,جنوب,سكني,15.0,900,1333,1199700
الزلفي,حي المنتزة,جنوب شرقي,سكني,10.0,654,114,74556
الرياض,حي المهدية,شمال,سكني,15.0,443,17000,7531000
الهفوف,حي الواحة,شمال,سكني,15.0,1120,700,784000
الرياض,حي النرجس,جنوب,سكني,15.0,900,3000,2700000
الخبر,حي البحر,3 شوارع,سكني,25.0,12000,3000,36000000
الرياض,حي الملقا,جنوب,سكني,25.0,978,4100,4009800
الرياض,حي الملقا,جنوب غربي,سكني,25.0,1530,4500,6885000
الرياض,حي الندى,4 شوارع,سكني,20.0,19620,3300,64746000
الرياض,حي العقيق,جنوب,سكني,20.0,625,3300,2062500
الرياض,حي الملقا,جنوب,سكني,15.0,523,4500,2353500
الرياض,حي الرحمانية,3 شوارع,سكني,20.0,2100,4000,8400000
الرياض,حي النرجس,جنوب شرقي,سكني,20.0,1012,3100,3137200
بريدة,حي البصر,جنوب,سكني,15.0,625,208,130000
الرياض,حي الملقا,4 شوارع,سكني أو تجاري,60.0,4724,3700,17478800
الرياض,حي الملقا,غرب,سكني,18.0,375,4000,1500000
الرياض,حي عرقة,شمال شرقي,سكني,12.0,990,1565,1549350
الرياض,حي بنبان,شمال غربي,سكني أو تجاري,30.0,5100,700,3570000
جازان,حي السويس,جنوب,تجاري,30.0,400,875,350000
الرياض,حي النرجس,شمال غربي,سكني,18.0,494,3550,1753700
جدة,حي النزهة,شرق,سكني,16.0,750,3200,2400000
جدة,حي الفروسية,شمال,سكني,15.0,450,1000,450000
جدة,حي الزمرد,شمال,سكني,15.0,625,1760,1100000
الرياض,حي النرجس,شرق,سكني,20.0,890,3000,2670000
الرياض,حي الربوة,شمال,سكني,20.0,700,2300,1610000
الرياض,حي الخزامى,شمال,سكني,20.0,875,4300,3762500
جدة,حي الروضة,شمال,سكني,15.0,750,4666,3499500
الرياض,حي المهدية,جنوب,سكني,20.0,900,1450,1305000
الرياض,حي النفل,جنوب شرقي,تجاري,36.0,2444,4500,10998000
الرياض,حي السلي,3 شوارع,سكني أو تجاري,35.0,1897,1300,2466100
الرياض,حي الخزامى,جنوب,سكني,30.0,1620,3800,6156000
الرياض,حي النرجس,جنوب,سكني,20.0,750,2400,1800000
الرياض,حي الياسمين,جنوب غربي,سكني,15.0,1380,3500,4830000
الرياض,حي المغرزات,شمال,سكني,15.0,1225,3000,3675000
الرياض,حي الصحافة,غرب,سكني,14.0,638,2750,1754500
الرياض,حي ضاحية نمار,جنوب غربي,سكني أو تجاري,20.0,1136,700,795200
الرياض,حي الخليج,3 شوارع,سكني,20.0,805,2400,1932000
جدة,حي بني مالك,4 شوارع,سكني أو تجاري,30.0,9088,1900,17267200
الرياض,حي بنبان,4 شوارع,سكني أو تجاري,36.0,67000,168,11256000
الرياض,حي القيروان,3 شوارع,سكني أو تجاري,80.0,595998,1000,595998000
الرياض,حي بنبان,جنوب شرقي,سكني أو تجاري,25.0,750,650,487500
الرياض,حي بنبان,شرق,سكني,15.0,1500,750,1125000
الرياض,حي المونسية,شمال شرقي,سكني أو تجاري,30.0,900,2400,2160000
المزاحمية,حي الغطغط,شمال غربي,سكني أو تجاري,50.0,11263,67,754621
الرياض,حي المغرزات,غرب,سكني,20.0,600,3250,1950000
الرياض,حي الصحافة,شمال شرقي,سكني,5.0,806,3000,2418000
الرياض,حي القيروان,شمال شرقي,سكني أو تجاري,20.0,827,3100,2563700
مكة المكرمة,حي الملك فهد,غرب,سكني أو تجاري,30.0,600,1250,750000
الرياض,حي العارض,شرق,سكني,15.0,355,2350,834250
احد رفيده,حي الزهور,3 شوارع,سكني,20.0,900,244,219600
الرياض,حي المهدية,جنوب,سكني,15.0,375,1500,562500
الرياض,حي ظهرة نمار,شمال,سكني,15.0,2700,1300,3510000
الرياض,حي المعيزلة,جنوب,تجاري,40.0,1500,1900,2850000
الرياض,حي صلاح الدين,شمال,غير محدد,15.0,405,2950,1194750
الرياض,حي الملقا,شرق,سكني,25.0,700,4000,2800000
الرياض,حي المهدية,جنوب شرقي,سكني,20.0,900,1444,1299600
الرياض,حي الاندلس,شمال,سكني,15.0,312,3200,998400
الرياض,حي الصحافة,غرب,سكني,15.0,435,3500,1522500
الرياض,حي بنبان,شرق,سكني أو تجاري,20.0,534,1011,539874
الرياض,حي الياسمين,جنوب غربي,سكني,18.0,1380,3800,5244000
الرياض,حي المونسية,شمال,تجاري,37.0,2700,2150,5805000
الخبر,حي الامواج,شمال شرقي,سكني,20.0,1000,1050,1050000
الرياض,حي الشهداء,3 شوارع,سكني,20.0,1250,3200,4000000
الرياض,حي المروج,شمال,تجاري,30.0,575,4600,2645000
الرياض,حي ظهرة لبن,غرب,سكني أو تجاري,20.0,345,2086,719670
الخبر,حي الرجاء,جنوب,سكني,40.0,1408,604,850432
الرياض,حي الجزيرة,شرق,سكني,24.0,731,2600,1900600
الرياض,حي الروضة,شمال,سكني,15.0,306,2850,872100
الرياض,حي الخليج,جنوب شرقي,سكني,20.0,750,1800,1350000
الرياض,حي ظهرة لبن,غرب,سكني,20.0,256,1953,499968
الرياض,حي عرقة,جنوب,سكني,15.0,600,2900,1740000
الرياض,حي حطين,4 شوارع,سكني أو تجاري,30.0,6632,3900,25864800
المدينة المنورة,حي خاخ,شرق,سكني أو تجاري,25.0,820,182,149240
الخبر,حي اللؤلؤ,شرق,سكني,20.0,375,1000,375000
الرياض,حي ظهرة لبن,شرق,سكني,20.0,400,1500,600000
الرياض,حي الملقا,شمال شرقي,سكني,18.0,832,4700,3910400
الرياض,حي عرقة,غرب,سكني,15.0,625,3000,1875000
الرياض,حي السعادة,3 شوارع,تجاري,60.0,3300,1800,5940000
الرياض,حي الوادي,غرب,سكني,15.0,1200,2833,3399600
الرياض,حي الملقا,شمال شرقي,سكني,15.0,594,4100,2435400
الرياض,حي الياسمين,شمال غربي,سكني,15.0,420,3500,1470000
الخبر,حي الكوثر,جنوب,سكني,20.0,950,726,689700
الرياض,حي الملقا,شرق,سكني أو تجاري,30.0,2544,4100,10430400
الرياض,حي النرجس,شمال غربي,سكني,15.0,538,3300,1775400
الرياض,حي العقيق,3 شوارع,سكني,15.0,2250,3400,7650000
الرياض,حي الوادي,شمال,سكني,15.0,1856,3000,5568000
الرياض,حي النخيل,3 شوارع,سكني,31.0,2700,4800,12960000
الرياض,حي حطين,4 شوارع,سكني أو تجاري,20.0,6632,4000,26528000
الرياض,حي المروج,غرب,سكني,15.0,875,2500,2187500
الرياض,حي الملقا,شرق,سكني,20.0,437,3400,1485800
الرياض,حي الياسمين,شمال,سكني,15.0,368,3300,1214400
جدة,حي الصوارى,جنوب غربي,سكني,15.0,750,1600,1200000
جدة,حي الياقوت,جنوب,سكني,16.0,675,1303,879525
الرياض,حي الملقا,جنوب,سكني أو تجاري,20.0,800,4500,3600000
الرياض,حي الصحافة,جنوب,تجاري,60.0,900,6100,5490000
الرياض,حي بنبان,جنوب,سكني,15.0,750,666,499500
الرياض,حي عرقة,شمال,سكني,20.0,1200,3500,4200000
الرياض,حي الملقا,جنوب,سكني,15.0,348,4300,1496400
الرياض,حي حطين,شرق,سكني,15.0,462,3800,1755600
الرياض,حي الزهرة,شرق,سكني,20.0,720,3400,2448000
الرياض,حي المهدية,شمال,تجاري,35.0,400,1450,580000
الرياض,حي الملقا,غرب,سكني,20.0,2100,3500,7350000
بريدة,حي الجامعيين,شرق,سكني,15.0,533,300,159900
الرياض,حي العارض,3 شوارع,سكني,20.0,1300,2700,3510000
الخبر,حي اللؤلؤ,جنوب,سكني,20.0,338,1065,359970
الرياض,حي الشفا,4 شوارع,سكني,16.0,17820,1200,21384000
الرياض,حي العارض,4 شوارع,سكني أو تجاري,100.0,12250,8000,98000000
الرياض,حي القيروان,3 شوارع,سكني,15.0,1200,3000,3600000
الرياض,حي ضاحية نمار,3 شوارع,سكني أو تجاري,60.0,10200,600,6120000
الرياض,حي اليرموك,3 شوارع,سكني أو تجاري,13.0,1800,2100,3780000
الرياض,حي النهضة,غرب,سكني,14.0,375,2053,769875
الخبر,حي المرجان,شمال,سكني أو تجاري,40.0,1526,630,961380
الرياض,حي نمار,شمال,سكني,15.0,1000,1300,1300000
المدينة المنورة,حي النقس,شمال شرقي,سكني أو تجاري,30.0,1178,700,824600
المدينة المنورة,حي العزيزية,شرق,سكني,20.0,1000,1500,1500000
الخبر,حي الكوثر,شمال غربي,سكني,20.0,972,772,750384
الرياض,حي العارض,جنوب شرقي,سكني,19.0,1263,2400,3031200
الرياض,حي الحمراء,جنوب,تجاري,36.0,1059,4000,4236000
الرياض,حي ضاحية نمار,جنوب,سكني,20.0,375,800,300000
الرياض,حي ضاحية نمار,غرب,سكني,20.0,437,800,349600
الرياض,حي ام الحمام الغربي,جنوب شرقي,سكني,15.0,1000,1700,1700000
الرياض,حي حطين,جنوب,سكني,30.0,700,6600,4620000
بريدة,حي سلطانة,غرب,تجاري,10.0,682,900,613800
الزلفي,حي حطين,شمال,سكني,30.0,625,160,100000
الرياض,حي النرجس,شمال,تجاري,36.0,1095,2500,2737500
الرياض,حي المهدية,جنوب,سكني,15.0,442,1244,549848
ثادق,حي الجنادرية,جنوب,سكني,15.0,860,600,516000
الرياض,حي النسيم الشرقي,شرق,تجاري,40.0,1000,2200,2200000
الرياض,حي الملك عبدالله,4 شوارع,سكني أو تجاري,30.0,11000,3000,33000000
النبهانية,حي النبهانية,شرق,سكني أو تجاري,30.0,2375,42,99750
المدينة المنورة,حي المطار,شرق,سكني,15.0,500,600,300000
الرياض,حي الشرق,شمال,سكني,15.0,750,180,135000
المزاحمية,حي الغطغط,شمال غربي,سكني,13.0,816,117,95472
الخبر,حي البحر,شرق,سكني,40.0,2712,2100,5695200
الرياض,حي المهدية,شرق,تجاري,40.0,625,1920,1200000
الرياض,حي الرفيعة,شمال,سكني,20.0,500,1800,900000
الرياض,حي النخيل,جنوب,سكني,20.0,764,4400,3361600
الرياض,حي اشبيلية,جنوب,سكني أو تجاري,36.0,1500,2300,3450000
الرياض,حي الملقا,شمال,سكني,15.0,463,4000,1852000
الرياض,حي الملقا,شمال شرقي,سكني,15.0,400,4500,1800000
الرياض,حي ضاحية نمار,جنوب غربي,سكني,15.0,585,600,351000
الرياض,حي المهدية,غرب,سكني,15.0,900,1200,1080000
جدة,حي الشراع,جنوب,سكني,25.0,900,2000,1800000
الرياض,حي قرطبة,4 شوارع,سكني أو تجاري,100.0,5155,3200,16496000
الرياض,حي حطين,4 شوارع,سكني أو تجاري,60.0,39000,5000,195000000
الرياض,حي بنبان,شرق,سكني,20.0,750,666,499500
الرياض,حي الوادي,غرب,سكني,15.0,1200,2700,3240000
الخبر,حي الصواري,شمال,سكني,15.0,894,950,849300
الرياض,حي الملقا,شمال شرقي,سكني,18.0,839,4900,4111100
المدينة المنورة,حي الفتح,شمال شرقي,تجاري,20.0,1050,8571,8999550
الرياض,حي المهدية,جنوب,سكني,15.0,526,1250,657500
الرياض,حي المونسية,4 شوارع,سكني,20.0,6000,2450,14700000
الرياض,حي المهدية,شمال,سكني,15.0,557,1257,700149
تبوك,حي بترومين,شمال,سكني,15.0,1050,450,472500
الرياض,حي بنبان,جنوب غربي,سكني,20.0,750,700,525000
الرياض,حي بنبان,غرب,سكني أو تجاري,20.0,1024,781,799744
الرياض,حي المونسية,شمال,سكني,18.0,336,2700,907200
صفوى,حي ابو معن,شمال,تجاري,50.0,2000,75,150000
الرياض,حي بنبان,شرق,سكني,15.0,756,595,449820
الرياض,حي اليرموك,شرق,سكني,20.0,373,2400,895200
الرياض,حي الخزامى,3 شوارع,سكني,20.0,6650,4150,27597500
الرياض,حي الهدا,جنوب شرقي,سكني أو تجاري,20.0,3046,2300,7005800
الرياض,حي الملقا,شرق,سكني,15.0,900,3500,3150000
الدمام,حي العنود,غرب,سكني أو تجاري,30.0,1000,3000,3000000
الرياض,حي الصحافة,جنوب,سكني,15.0,810,3200,2592000
الرياض,حي الشفا,شرق,تجاري,25.0,875,3000,2625000
الرياض,حي عكاظ,4 شوارع,سكني,15.0,312,1300,405600
الرياض,حي الياسمين,غرب,سكني,20.0,725,3600,2610000
الرياض,حي المعيزلة,جنوب,سكني,12.0,525,1400,735000
الرياض,حي الوادي,غرب,سكني,15.0,1200,2916,3499200
الرياض,حي الياسمين,شرق,سكني,19.0,350,3500,1225000
الرياض,حي الوادي,غرب,سكني,15.0,1200,2500,3000000
الخبر,حي البحيرة,جنوب,سكني,15.0,556,1200,667200
الرياض,حي بدر,جنوب,سكني,15.0,10000,850,8500000
الرياض,حي القيروان,جنوب,سكني,15.0,367,3000,1101000
الرياض,حي المونسية,شمال,سكني,15.0,350,2300,805000
الرياض,حي الملقا,3 شوارع,سكني أو تجاري,60.0,2400,5000,12000000
الرياض,حي اليرموك,3 شوارع,سكني أو تجاري,30.0,1800,2300,4140000
جدة,حي الرياض,جنوب غربي,سكني,15.0,863,336,289968
الرياض,حي الفلاح,جنوب,سكني,20.0,832,4000,3328000
الرياض,حي المونسية,جنوب,سكني,18.0,375,2300,862500
الرياض,حي المهدية,شمال,سكني,15.0,515,2000,1030000
الرياض,حي الملقا,3 شوارع,سكني أو تجاري,40.0,3840,4600,17664000
الرياض,حي القادسية,جنوب غربي,تجاري,30.0,625,2000,1250000
الرياض,حي عرقة,3 شوارع,تجاري,40.0,4088,3500,14308000
الرياض,حي الملقا,4 شوارع,سكني,25.0,16984,3500,59444000
الدمام,حي الصدفة,جنوب,سكني,15.0,700,1700,1190000
جدة,حي الزمرد,شمال غربي,سكني,16.0,625,1600,1000000
الرياض,حي النرجس,شمال,سكني,15.0,1800,3000,5400000
الخبر,حي العقيق,شرق,سكني,20.0,500,740,370000
الخرج,حي الراشدية,شمال,سكني,15.0,690,289,199410
الرياض,حي الملقا,شمال,سكني,25.0,1620,3500,5670000
الرياض,حي الملقا,شمال,سكني,15.0,900,3500,3150000
الرياض,حي النموذجية,3 شوارع,سكني,20.0,1680,2000,3360000
الرياض,حي الملقا,شمال,سكني أو تجاري,20.0,687,4200,2885400
بريدة,حي الرحاب,جنوب,سكني,15.0,1000,260,260000
الرياض,حي المونسية,شمال,سكني,15.0,375,2200,825000
الرياض,حي عكاظ,شمال غربي,سكني أو تجاري,20.0,378,1350,510300
الرياض,حي المهدية,شمال غربي,سكني أو تجاري,20.0,900,1444,1299600
الرياض,حي النرجس,3 شوارع,تجاري,30.0,1650,3000,4950000
الرياض,حي القيروان,غرب,سكني أو تجاري,20.0,390,3600,1404000
الرياض,حي القادسية,شمال,سكني,15.0,772,2000,1544000
الرياض,حي حطين,3 شوارع,سكني,30.0,17000,5500,93500000
الرياض,حي النرجس,شرق,سكني,15.0,2700,3000,8100000
الخبر,حي الحمرا,شرق,سكني,20.0,750,2000,1500000
الرياض,حي اشبيلية,4 شوارع,سكني أو تجاري,36.0,4080,2200,8976000
الرياض,حي القيروان,غرب,سكني,15.0,450,2550,1147500
المدينة المنورة,حي شوران,جنوب,تجاري,25.0,1000,1100,1100000
الخبر,حي الشراع,جنوب غربي,تجاري,60.0,1236,2427,2999772
الرياض,حي النرجس,شرق,سكني,15.0,1050,2100,2205000
الرياض,حي النرجس,3 شوارع,سكني أو تجاري,36.0,2291,2600,5956600
الرياض,حي الفلاح,جنوب,سكني,15.0,800,3500,2800000
الخبر,حي اللؤلؤ,شرق,سكني,30.0,643,777,499611
الخبر,حي الحمرا,3 شوارع,سكني,40.0,3500,3000,10500000
الرياض,حي قرطبة,جنوب,سكني,20.0,600,2800,1680000
الدرعية,حي الدرعية الجديدة,جنوب,سكني أو تجاري,20.0,12000,140,1680000
الرياض,حي غرناطة,3 شوارع,سكني,20.0,1976,2783,5499208
الرياض,حي القيروان,3 شوارع,سكني أو تجاري,30.0,2044,3200,6540800
الرياض,حي المهدية,شمال,سكني,25.0,542,1051,569642
جازان,حي الصفا,شمال شرقي,سكني أو تجاري,20.0,618,800,494400
الرياض,حي الملقا,شمال غربي,سكني,25.0,1930,4000,7720000
الخبر,حي الجسر,غرب,سكني,25.0,500,1360,680000
الرياض,حي النرجس,جنوب,سكني,18.0,540,2600,1404000
الرياض,حي بدر,جنوب,تجاري,35.0,2400,1167,2800800
الرياض,حي المهدية,شرق,سكني,16.0,450,1445,650250
الرياض,حي بنبان,جنوب شرقي,سكني أو تجاري,30.0,840,1011,849240
الرياض,حي بنبان,شمال شرقي,سكني,15.0,750,813,609750
الرياض,حي القيروان,جنوب,سكني,15.0,300,3150,945000
الرياض,حي المهدية,شمال غربي,سكني,20.0,900,1277,1149300
الرياض,حي الازدهار,شمال غربي,سكني,20.0,690,3600,2484000
الخبر,حي اللؤلؤ,شرق,سكني,20.0,600,1100,660000
الرياض,حي بنبان,شرق,سكني,15.0,375,680,255000
الرياض,حي المروج,غرب,سكني,15.0,510,2800,1428000
الرياض,حي عرقة,جنوب,سكني,12.0,800,2000,1600000
الرياض,حي اليرموك,جنوب شرقي,سكني,15.0,378,2750,1039500
الرياض,حي لبن,جنوب غربي,سكني,20.0,900,2300,2070000
الرياض,حي الملقا,شمال شرقي,سكني,20.0,739,3900,2882100
الرياض,حي ظهرة لبن,جنوب,سكني,60.0,900,1772,1594800
الرياض,حي الملك عبدالله,3 شوارع,سكني أو تجاري,84.0,6010,3500,21035000
الرياض,حي اليرموك,شمال غربي,سكني,15.0,375,2600,975000
الرياض,حي الياسمين,جنوب,سكني,20.0,465,3650,1697250
الرياض,حي المونسية,شمال,سكني,15.0,520,2400,1248000
الرياض,حي عكاظ,جنوب,سكني,15.0,360,2300,828000
الخبر,حي العقيق,جنوب غربي,سكني أو تجاري,30.0,1078,600,646800
جدة,حي النعيم,شمال شرقي,سكني,15.0,625,4800,3000000
الرياض,حي الملقا,3 شوارع,سكني,25.0,6600,4000,26400000
الخبر,حي الكوثر,شمال,سكني,18.0,437,915,399855
الرياض,حي النرجس,4 شوارع,سكني أو تجاري,36.0,12600,3600,45360000
الرياض,حي الملقا,شمال,سكني أو تجاري,20.0,2224,3100,6894400
الرياض,حي الملقا,جنوب,سكني,28.0,23900,4000,95600000
بريدة,حي الرحاب,شرق,سكني,15.0,1000,290,290000
الرياض,حي الرمال,شرق,سكني,15.0,496,2000,992000
الرياض,حي الرمال,جنوب,سكني,15.0,381,1500,571500
الرياض,حي النفل,غرب,تجاري,30.0,1008,4000,4032000
الرياض,حي اليرموك,3 شوارع,تجاري,20.0,3600,2750,9900000
الرياض,حي النرجس,4 شوارع,سكني,20.0,10000,2600,26000000
الرياض,حي الندى,4 شوارع,سكني,15.0,12050,3500,42175000
الرياض,حي الورود,3 شوارع,سكني,20.0,896,3906,3499776
الرياض,حي الملقا,شمال غربي,سكني,28.0,1930,4200,8106000
الرياض,حي الغدير,3 شوارع,سكني,15.0,2400,4200,10080000
الرياض,حي النهضة,غرب,سكني,15.0,388,2400,931200
الرياض,حي المروج,3 شوارع,سكني,20.0,1625,3100,5037500
الرياض,حي المهدية,غرب,سكني,15.0,525,1142,599550
الرياض,حي المهدية,شمال شرقي,سكني,15.0,671,1100,738100
الرياض,حي الملقا,شمال,سكني,25.0,800,3800,3040000
جدة,حي اللؤلؤ,شمال شرقي,سكني,16.0,400,2125,850000
الرياض,حي الملقا,جنوب,سكني,20.0,900,3300,2970000
الرياض,حي نمار,شمال,تجاري,100.0,1513,3500,5295500
الرياض,حي الاندلس,شرق,سكني,15.0,506,2350,1189100
جدة,حي الزمرد,غرب,سكني,16.0,625,1600,1000000
الدلم,حي سدير,شرق,تجاري,20.0,600,400,240000
الرياض,حي بنبان,شرق,سكني,15.0,750,600,450000
الرياض,حي القادسية,شرق,تجاري,30.0,1139,1650,1879350
الرياض,حي الريان,شرق,سكني,15.0,775,3000,2325000
الرياض,حي النرجس,جنوب,سكني,15.0,690,3000,2070000
الرياض,حي المهدية,شمال شرقي,سكني,15.0,450,1560,702000
الرياض,حي الشفا,3 شوارع,سكني,15.0,718,1350,969300
الرياض,حي المونسية,شمال,تجاري,30.0,728,2600,1892800
الرياض,حي السلي,3 شوارع,تجاري,60.0,8196,1100,9015600
الرياض,حي العارض,3 شوارع,تجاري,60.0,3240,3600,11664000
جدة,حي اللؤلؤ,شرق,سكني,15.0,400,2000,800000
الرياض,حي النفل,غرب,سكني,15.0,375,3000,1125000
الرياض,حي النرجس,شمال,سكني,15.0,900,2800,2520000
الرياض,حي بنبان,شمال,سكني,25.0,750,733,549750
الدمام,حي احد,شرق,سكني,15.0,1560,1153,1798680
الرياض,حي طيبة,3 شوارع,سكني,20.0,300,1200,360000
مكة المكرمة,حي التنعيم,جنوب,سكني,15.0,880,852,749760
الرياض,حي الاندلس,شرق,سكني,15.0,506,2200,1113200
الخبر,حي التحلية,شمال,سكني,40.0,1950,1200,2340000
الخبر,حي التحلية,4 شوارع,سكني,20.0,14250,1450,20662500
رابغ,حي الصليب الغربي,غرب,سكني,15.0,700,285,199500
تاروت,حي الاندلس,جنوب,تجاري,5.0,900,2000,1800000
الرياض,حي الشرق,غرب,سكني,15.0,405,1750,708750
الدرعية,حي الدرعية الجديدة,شمال,سكني,25.0,622,1000,622000
جدة,حي الرياض,شمال غربي,سكني,25.0,616,838,516208
الرياض,حي المونسية,4 شوارع,سكني,15.0,6900,2420,16698000
الرياض,حي السليمانية,غرب,سكني,15.0,612,3000,1836000
الرياض,حي الملقا,جنوب,سكني,18.0,750,4200,3150000
الرياض,حي العقيق,جنوب,سكني,15.0,225,3900,877500
الرياض,حي المغرزات,شمال,سكني,30.0,1125,2970,3341250
الرياض,حي المونسية,جنوب,سكني,15.0,288,2700,777600
الرياض,حي الهدا,شرق,سكني,20.0,1085,2765,3000025
الرياض,حي بنبان,شمال,سكني,20.0,750,706,529500
الرياض,حي بنبان,شرق,سكني أو تجاري,20.0,840,571,479640
الرياض,حي النهضة,3 شوارع,تجاري,30.0,4900,2500,12250000
الرياض,حي الملقا,غرب,سكني,18.0,820,3800,3116000
الرياض,حي عرقة,شمال شرقي,سكني,15.0,1225,3000,3675000
الخبر,حي الصواري,شمال شرقي,سكني,15.0,551,1250,688750
الرياض,حي لبن,جنوب شرقي,سكني,20.0,900,2600,2340000
الرياض,حي النرجس,شرق,سكني,15.0,450,2800,1260000
الرياض,حي قرطبة,4 شوارع,سكني,20.0,3720,2700,10044000
الرياض,حي الملقا,شمال شرقي,سكني أو تجاري,20.0,830,4800,3984000
الرياض,حي عرقة,غرب,سكني,15.0,405,3500,1417500
الرياض,حي حطين,شرق,سكني,28.0,700,4000,2800000
الرياض,حي المهدية,شمال شرقي,سكني,25.0,450,1555,699750
الرياض,حي الملقا,جنوب شرقي,سكني,25.0,3139,4100,12869900
مكة المكرمة,حي البحيرات,شمال,سكني,15.0,715,1940,1387100
الرياض,حي غرناطة,جنوب غربي,سكني,36.0,1200,3200,3840000
الرياض,حي الملقا,شرق,سكني,25.0,1600,4600,7360000
الرياض,حي اليرموك,3 شوارع,سكني أو تجاري,30.0,4000,2500,10000000
الرياض,حي المونسية,غرب,سكني,15.0,300,2700,810000
الرياض,حي بنبان,جنوب,سكني,25.0,750,773,579750
الرياض,حي الندى,3 شوارع,سكني,15.0,81120,3250,263640000
الرياض,حي الشرق,جنوب,سكني,15.0,770,209,160930
الرياض,حي النرجس,جنوب,تجاري,30.0,900,3700,3330000
الخبر,حي الكوثر,جنوب شرقي,تجاري,60.0,770,1558,1199660
الرياض,حي الفلاح,جنوب,سكني,20.0,832,3700,3078400
الخبر,حي الكوثر,جنوب,سكني,20.0,437,869,379753
الرياض,حي اليرموك,شمال,تجاري,36.0,1155,2500,2887500
الرياض,حي الملقا,شمال شرقي,سكني,20.0,594,4100,2435400
الرياض,حي الملقا,شمال,سكني أو تجاري,25.0,875,4500,3937500
الرياض,حي النرجس,شمال شرقي,سكني,18.0,900,3300,2970000
الخبر,حي اللؤلؤ,غرب,سكني أو تجاري,20.0,660,1060,699600
الرياض,حي اليرموك,غرب,تجاري,30.0,750,2250,1687500
الرياض,حي حطين,جنوب,سكني,15.0,769,4500,3460500
الرياض,حي الازدهار,شرق,سكني,20.0,720,3200,2304000
